year,seed_code,la_code,la_name,school_name,school_type,stage,measure,value,chart_label
2010/11,5518334,230,Edinburgh City,Queensferry Community High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5518334,230,Edinburgh City,Queensferry Community High School,Secondary,All Stages,Unauthorised Absence,2.3%,
2010/11,5531438,230,Edinburgh City,Boroughmuir High School,Secondary,All Stages,Attendance,94.5%,
2010/11,5531438,230,Edinburgh City,Boroughmuir High School,Secondary,All Stages,Authorised Absence,3.8%,
2010/11,5531438,230,Edinburgh City,Boroughmuir High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5531438,230,Edinburgh City,Boroughmuir High School,Secondary,All Stages,Unauthorised Absence,1.7%,
2010/11,5531632,230,Edinburgh City,Broughton High School,Secondary,All Stages,Attendance,91%,
2010/11,5531632,230,Edinburgh City,Broughton High School,Secondary,All Stages,Authorised Absence,6.3%,
2010/11,5531632,230,Edinburgh City,Broughton High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5531632,230,Edinburgh City,Broughton High School,Secondary,All Stages,Unauthorised Absence,2.6%,
2010/11,5531934,230,Edinburgh City,Castlebrae Community High School,Secondary,All Stages,Attendance,80.9%,
2010/11,5531934,230,Edinburgh City,Castlebrae Community High School,Secondary,All Stages,Authorised Absence,10.2%,
2010/11,5531934,230,Edinburgh City,Castlebrae Community High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5531934,230,Edinburgh City,Castlebrae Community High School,Secondary,All Stages,Unauthorised Absence,7.9%,
2010/11,5532132,230,Edinburgh City,Craigmount High School,Secondary,All Stages,Attendance,92.7%,
2010/11,5532132,230,Edinburgh City,Craigmount High School,Secondary,All Stages,Authorised Absence,5.2%,
2010/11,5532132,230,Edinburgh City,Craigmount High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5532132,230,Edinburgh City,Craigmount High School,Secondary,All Stages,Unauthorised Absence,2%,
2010/11,5532434,230,Edinburgh City,Craigroyston Community High School,Secondary,All Stages,Attendance,86.1%,
2010/11,5532434,230,Edinburgh City,Craigroyston Community High School,Secondary,All Stages,Authorised Absence,8.5%,
2010/11,5532434,230,Edinburgh City,Craigroyston Community High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5532434,230,Edinburgh City,Craigroyston Community High School,Secondary,All Stages,Unauthorised Absence,4.7%,
2010/11,5532531,230,Edinburgh City,Drummond Community High School,Secondary,All Stages,Attendance,89.1%,
2010/11,5532531,230,Edinburgh City,Drummond Community High School,Secondary,All Stages,Authorised Absence,5.7%,
2010/11,5532531,230,Edinburgh City,Drummond Community High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5532531,230,Edinburgh City,Drummond Community High School,Secondary,All Stages,Unauthorised Absence,4.7%,
2010/11,5532639,230,Edinburgh City,Firrhill High School,Secondary,All Stages,Attendance,92.8%,
2010/11,5532639,230,Edinburgh City,Firrhill High School,Secondary,All Stages,Authorised Absence,6%,
2010/11,5532639,230,Edinburgh City,Firrhill High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5532639,230,Edinburgh City,Firrhill High School,Secondary,All Stages,Unauthorised Absence,1.2%,
2010/11,5532736,230,Edinburgh City,Forrester High School,Secondary,All Stages,Attendance,89.4%,
2010/11,5532736,230,Edinburgh City,Forrester High School,Secondary,All Stages,Authorised Absence,6.5%,
2010/11,5532736,230,Edinburgh City,Forrester High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5532736,230,Edinburgh City,Forrester High School,Secondary,All Stages,Unauthorised Absence,3.9%,
2010/11,5532930,230,Edinburgh City,Gracemount High School,Secondary,All Stages,Attendance,88.9%,
2010/11,5532930,230,Edinburgh City,Gracemount High School,Secondary,All Stages,Authorised Absence,5.8%,
2010/11,5532930,230,Edinburgh City,Gracemount High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5532930,230,Edinburgh City,Gracemount High School,Secondary,All Stages,Unauthorised Absence,5%,
2010/11,5533031,230,Edinburgh City,Holy Rood RC High School,Secondary,All Stages,Attendance,88.6%,
2010/11,5533031,230,Edinburgh City,Holy Rood RC High School,Secondary,All Stages,Authorised Absence,8.6%,
2010/11,5533031,230,Edinburgh City,Holy Rood RC High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5533031,230,Edinburgh City,Holy Rood RC High School,Secondary,All Stages,Unauthorised Absence,2.8%,
2010/11,5533139,230,Edinburgh City,James Gillespie's High School,Secondary,All Stages,Attendance,92.3%,
2010/11,5533139,230,Edinburgh City,James Gillespie's High School,Secondary,All Stages,Authorised Absence,6.1%,
2010/11,5533139,230,Edinburgh City,James Gillespie's High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5533139,230,Edinburgh City,James Gillespie's High School,Secondary,All Stages,Unauthorised Absence,1.6%,
2010/11,5533236,230,Edinburgh City,Leith Academy,Secondary,All Stages,Attendance,90.2%,
2010/11,5533236,230,Edinburgh City,Leith Academy,Secondary,All Stages,Authorised Absence,6.3%,
2010/11,5533236,230,Edinburgh City,Leith Academy,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5533236,230,Edinburgh City,Leith Academy,Secondary,All Stages,Unauthorised Absence,3.4%,
2010/11,5533430,230,Edinburgh City,Liberton High School,Secondary,All Stages,Attendance,88.4%,
2010/11,5533430,230,Edinburgh City,Liberton High School,Secondary,All Stages,Authorised Absence,8.6%,
2010/11,5533430,230,Edinburgh City,Liberton High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5533430,230,Edinburgh City,Liberton High School,Secondary,All Stages,Unauthorised Absence,2.7%,
2010/11,5533538,230,Edinburgh City,Portobello High School,Secondary,All Stages,Attendance,90.2%,
2010/11,5533538,230,Edinburgh City,Portobello High School,Secondary,All Stages,Authorised Absence,8.2%,
2010/11,5533538,230,Edinburgh City,Portobello High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5533538,230,Edinburgh City,Portobello High School,Secondary,All Stages,Unauthorised Absence,1.5%,
2010/11,5533732,230,Edinburgh City,The Royal High School,Secondary,All Stages,Attendance,92.5%,
2010/11,5533732,230,Edinburgh City,The Royal High School,Secondary,All Stages,Authorised Absence,6.2%,
2010/11,5533732,230,Edinburgh City,The Royal High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5533732,230,Edinburgh City,The Royal High School,Secondary,All Stages,Unauthorised Absence,1.3%,
2010/11,5533937,230,Edinburgh City,Wester Hailes High School,Secondary,All Stages,Attendance,87.1%,
2010/11,5533937,230,Edinburgh City,Wester Hailes High School,Secondary,All Stages,Authorised Absence,8.3%,
2010/11,5533937,230,Edinburgh City,Wester Hailes High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5533937,230,Edinburgh City,Wester Hailes High School,Secondary,All Stages,Unauthorised Absence,4.3%,
2010/11,5534038,230,Edinburgh City,St Augustine's High School,Secondary,All Stages,Attendance,88.7%,
2010/11,5534038,230,Edinburgh City,St Augustine's High School,Secondary,All Stages,Authorised Absence,8.3%,
2010/11,5534038,230,Edinburgh City,St Augustine's High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5534038,230,Edinburgh City,St Augustine's High School,Secondary,All Stages,Unauthorised Absence,3%,
2010/11,5534232,230,Edinburgh City,St Thomas Of Aquin's High School,Secondary,All Stages,Attendance,91.6%,
2010/11,5534232,230,Edinburgh City,St Thomas Of Aquin's High School,Secondary,All Stages,Authorised Absence,6.9%,
2010/11,5534232,230,Edinburgh City,St Thomas Of Aquin's High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5534232,230,Edinburgh City,St Thomas Of Aquin's High School,Secondary,All Stages,Unauthorised Absence,1.5%,
2010/11,5534534,230,Edinburgh City,Trinity Academy,Secondary,All Stages,Attendance,89.5%,
2010/11,5534534,230,Edinburgh City,Trinity Academy,Secondary,All Stages,Authorised Absence,8.3%,
2010/11,5534534,230,Edinburgh City,Trinity Academy,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5534534,230,Edinburgh City,Trinity Academy,Secondary,All Stages,Unauthorised Absence,2.1%,
2010/11,5534631,230,Edinburgh City,Tynecastle High School,Secondary,All Stages,Attendance,89.1%,
2010/11,5534631,230,Edinburgh City,Tynecastle High School,Secondary,All Stages,Authorised Absence,7.5%,
2010/11,5534631,230,Edinburgh City,Tynecastle High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5534631,230,Edinburgh City,Tynecastle High School,Secondary,All Stages,Unauthorised Absence,3.2%,
2010/11,5540739,230,Edinburgh City,Currie Community High School,Secondary,All Stages,Attendance,93%,
2010/11,5540739,230,Edinburgh City,Currie Community High School,Secondary,All Stages,Authorised Absence,5.1%,
2010/11,5540739,230,Edinburgh City,Currie Community High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5540739,230,Edinburgh City,Currie Community High School,Secondary,All Stages,Unauthorised Absence,1.9%,
2010/11,5541638,230,Edinburgh City,Balerno Community High School,Secondary,All Stages,Attendance,94.8%,
2010/11,5541638,230,Edinburgh City,Balerno Community High School,Secondary,All Stages,Authorised Absence,3.9%,
2010/11,5541638,230,Edinburgh City,Balerno Community High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5541638,230,Edinburgh City,Balerno Community High School,Secondary,All Stages,Unauthorised Absence,1.4%,
2010/11,5545838,290,Midlothian,Dalkeith High School,Secondary,All Stages,Attendance,90.1%,
2010/11,5545838,290,Midlothian,Dalkeith High School,Secondary,All Stages,Authorised Absence,6.1%,
2010/11,5545838,290,Midlothian,Dalkeith High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5545838,290,Midlothian,Dalkeith High School,Secondary,All Stages,Unauthorised Absence,3.6%,
2010/11,5546036,290,Midlothian,Newbattle High School,Secondary,All Stages,Attendance,88.6%,
2010/11,5546036,290,Midlothian,Newbattle High School,Secondary,All Stages,Authorised Absence,8.6%,
2010/11,5546036,290,Midlothian,Newbattle High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5546036,290,Midlothian,Newbattle High School,Secondary,All Stages,Unauthorised Absence,2.5%,
2010/11,5546230,290,Midlothian,St David's RC High School,Secondary,All Stages,Attendance,90.5%,
2010/11,5546230,290,Midlothian,St David's RC High School,Secondary,All Stages,Authorised Absence,7%,
2010/11,5546230,290,Midlothian,St David's RC High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5546230,290,Midlothian,St David's RC High School,Secondary,All Stages,Unauthorised Absence,2.2%,
2010/11,5546834,290,Midlothian,Penicuik High School,Secondary,All Stages,Attendance,91.7%,
2010/11,5546834,290,Midlothian,Penicuik High School,Secondary,All Stages,Authorised Absence,5.2%,
2010/11,5546834,290,Midlothian,Penicuik High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5546834,290,Midlothian,Penicuik High School,Secondary,All Stages,Unauthorised Absence,3%,
2010/11,5547938,290,Midlothian,Beeslack Community High School,Secondary,All Stages,Attendance,92.7%,
2010/11,5547938,290,Midlothian,Beeslack Community High School,Secondary,All Stages,Authorised Absence,5.8%,
2010/11,5547938,290,Midlothian,Beeslack Community High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5547938,290,Midlothian,Beeslack Community High School,Secondary,All Stages,Unauthorised Absence,1.4%,
2010/11,5550831,210,East Lothian,Musselburgh Grammar School,Secondary,All Stages,Attendance,90.8%,
2010/11,5550831,210,East Lothian,Musselburgh Grammar School,Secondary,All Stages,Authorised Absence,6%,
2010/11,5550831,210,East Lothian,Musselburgh Grammar School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5550831,210,East Lothian,Musselburgh Grammar School,Secondary,All Stages,Unauthorised Absence,3%,
2010/11,5555736,210,East Lothian,Dunbar Grammar School,Secondary,All Stages,Attendance,93.2%,
2010/11,5555736,210,East Lothian,Dunbar Grammar School,Secondary,All Stages,Authorised Absence,4.5%,
2010/11,5555736,210,East Lothian,Dunbar Grammar School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5555736,210,East Lothian,Dunbar Grammar School,Secondary,All Stages,Unauthorised Absence,2.3%,
2010/11,5555930,210,East Lothian,Knox Academy,Secondary,All Stages,Attendance,91.7%,
2010/11,5555930,210,East Lothian,Knox Academy,Secondary,All Stages,Authorised Absence,5.5%,
2010/11,5555930,210,East Lothian,Knox Academy,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5555930,210,East Lothian,Knox Academy,Secondary,All Stages,Unauthorised Absence,2.8%,
2010/11,5556031,210,East Lothian,North Berwick High School,Secondary,All Stages,Attendance,93.6%,
2010/11,5556031,210,East Lothian,North Berwick High School,Secondary,All Stages,Authorised Absence,5%,
2010/11,5556031,210,East Lothian,North Berwick High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5556031,210,East Lothian,North Berwick High School,Secondary,All Stages,Unauthorised Absence,1.4%,
2010/11,5556139,210,East Lothian,Preston Lodge High School,Secondary,All Stages,Attendance,90.3%,
2010/11,5556139,210,East Lothian,Preston Lodge High School,Secondary,All Stages,Authorised Absence,5.4%,
2010/11,5556139,210,East Lothian,Preston Lodge High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5556139,210,East Lothian,Preston Lodge High School,Secondary,All Stages,Unauthorised Absence,4.1%,
2010/11,5556236,210,East Lothian,Ross High School,Secondary,All Stages,Attendance,89.1%,
2010/11,5556236,210,East Lothian,Ross High School,Secondary,All Stages,Authorised Absence,7.1%,
2010/11,5556236,210,East Lothian,Ross High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5556236,210,East Lothian,Ross High School,Secondary,All Stages,Unauthorised Absence,3.4%,
2010/11,5601932,355,Scottish Borders,Peebles High School,Secondary,All Stages,Attendance,92.4%,
2010/11,5601932,355,Scottish Borders,Peebles High School,Secondary,All Stages,Authorised Absence,4.1%,
2010/11,5601932,355,Scottish Borders,Peebles High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5601932,355,Scottish Borders,Peebles High School,Secondary,All Stages,Unauthorised Absence,3.4%,
2010/11,5616530,355,Scottish Borders,Earlston High School,Secondary,All Stages,Attendance,93%,
2010/11,5616530,355,Scottish Borders,Earlston High School,Secondary,All Stages,Authorised Absence,5.6%,
2010/11,5616530,355,Scottish Borders,Earlston High School,Secondary,All Stages,Temporary Exclusions,z,z
